File Name,Ground Truth
close_calls_1,block
close_calls_2,block
close_calls_3,block
close_calls_4,block
close_calls_6,goaltend
close_calls_7,goaltend
close_calls_8,goaltend
close_calls_9,block
close_calls_10,block
close_calls_11,block
10ft_close_calls_1,block
10ft_close_calls_2,goaltend
10ft_close_calls_3,goaltend
10ft_close_calls_4,block
10ft_close_calls_5,block
10ft_close_calls_6,goaltend
10ft_close_calls_7,block
10ft_close_calls_8,goaltend
10ft_close_calls_9,block
10ft_close_calls_10,block
10ft_close_calls_12,block
10ft_close_calls_13,goaltend
10ft_close_calls_14,goaltend
10ft_close_calls_16,goaltend
10ft_close_calls_17,goaltend
10ft_close_calls_18,block
10ft_close_calls_19,goaltend
10ft_close_calls_20,goaltend
10ft_close_calls_21,goaltend
10ft_close_calls_right_1,block
10ft_close_calls_right_2,goaltend
10ft_close_calls_right_3,goaltend
10ft_close_calls_right_4,block
10ft_close_calls_right_5,block
10ft_close_calls_right_6,block
10ft_close_calls_right_7,block
10ft_close_calls_right_8,block
10ft_close_calls_right_9,goaltend
10ft_close_calls_right_10,block
10ft_close_calls_right_11,goaltend
10ft_close_calls_right_12,block
10ft_close_calls_right_13,block
10ft_close_calls_right_14,goaltend
10ft_close_calls_right_15,goaltend
10ft_close_calls_right_16,block
10ft_close_calls_right_17,goaltend
10ft_close_calls_right_18,goaltend
10ft_close_calls_right_19,goaltend
10ft_close_calls_right_20,goaltend
10ft_close_calls_right_21,block
10ft_close_calls_right_22,goaltend
10ft_close_calls_right_23,block
10ft_close_calls_right_24,goaltend
10ft_close_calls_right_25,block
10ft_close_calls_right_26,goaltend
10ft_close_calls_right_27,goaltend
10ft_close_calls_right_28,block
10ft_close_calls_right_29,goaltend
10ft_close_calls_right_30,goaltend
10ft_close_calls_right_31,goaltend
10ft_close_calls_right_32,block
10ft_close_calls_right_33,goaltend
10ft_close_calls_right_34,goaltend
10ft_close_calls_right_35,block
10ft_close_calls_right_36,goaltend
10ft_close_calls_right_37,goaltend
10ft_close_calls_right_38,block
10ft_close_calls_right_39,goaltend
10ft_close_calls_right_40,goaltend
10ft_close_calls_right_41,goaltend
10ft_close_calls_right_42,goaltend
10ft_close_calls_right_43,block
10ft_close_calls_right_44,block
10ft_close_calls_right_45,goaltend
10ft_close_calls_right_46,goaltend
10ft_close_calls_right_47,goaltend
10ft_close_calls_right_48,block
10ft_close_calls_right_49,block
10ft_close_calls_right_50,goaltend
10ft_close_calls_right_51,goaltend
10ft_close_calls_right_52,goaltend
10ft_close_calls_right_53,goaltend
10ft_close_calls_right_54,block
10ft_close_calls_right_55,block
10ft_close_calls_right_56,block
10ft_close_calls_right_57,block
10ft_close_calls_right_58,block
10ft_close_calls_right_59,goaltend
10ft_close_calls_right_60,goaltend
10ft_final_actualfinal_1,goaltend
10ft_final_actualfinal_2,goaltend
10ft_final_actualfinal_3,goaltend
10ft_final_actualfinal_4,goaltend
10ft_final_actualfinal_5,goaltend
10ft_final_actualfinal_6,goaltend
10ft_final_actualfinal_7,goaltend
10ft_final_actualfinal_8,goaltend
10ft_final_actualfinal_9,goaltend
10ft_final_actualfinal_10,block
10ft_final_actualfinal_11,goaltend
10ft_final_actualfinal_12,block
10ft_final_actualfinal_13,block
10ft_final_actualfinal_14,goaltend
10ft_final_actualfinal_15,goaltend
10ft_final_actualfinal_16,block
10ft_final_actualfinal_17,goaltend
10ft_final_actualfinal_18,goaltend
10ft_final_actualfinal_19,goaltend
10ft_final_actualfinal_20,goaltend
10ft_final_actualfinal_21,block
10ft_final_actualfinal_22,goaltend
10ft_final_actualfinal_23,goaltend
10ft_final_actualfinal_24,block
10ft_final_actualfinal_25,block
10ft_final_actualfinal_26,block
10ft_final_actualfinal_30,block
10ft_final_actualfinal_31,goaltend
10ft_final_actualfinal_32,goaltend
10ft_final_actualfinal_33,goaltend
10ft_final_actualfinal_34,goaltend
10ft_final_actualfinal_35,block
10ft_final_actualfinal_36,block
10ft_final_actualfinal_37,goaltend
10ft_final_actualfinal_38,goaltend
10ft_final_actualfinal_39,block
10ft_final_actualfinal_40,block
